city,state_abbr,policy_status,official_policy_source,public_admin_data,quality_or_maintenance_data,standard_outcome_backbone,build_priority,bulk_public_access,notes
Berkeley,CA,legacy_local_rent_control,https://rentboard.berkeleyca.gov/,Rent Board registration + Unit Information Lookup,Evictions workflow on Rent Board site,"ACS 5y place/county, FHFA Bay Area MSA/division, BPS Alameda County, QCEW Alameda County",high,partial,"Best local legal-ceiling extension; likely bespoke extraction."
New York City,NY,legacy_local_rent_stabilization,https://rentguidelinesboard.cityofnewyork.us/resources/rent-stabilized-building-lists/,Rent Stabilized Building Lists (building-level),HPD open data violation files,"ACS 5y borough/county, FHFA NYC metro/division, BPS borough/county, QCEW county",high,yes,"Best public quality/maintenance extension; treated stock is building-level proxy, not apartment-level."
Saint Paul,MN,modern_local_rent_stabilization,https://www.stpaul.gov/departments/safety-inspections/rent-buy-sell-property/rent-stabilization,Appeals and ordinance/rules pages,No strong city-run quality dataset verified yet,"ACS 5y place/county, FHFA Twin Cities MSA, BPS Ramsey County, QCEW Ramsey County",high,yes,"Best modern city policy case with clear adoption and amendments."
Washington,DC,legacy_local_rent_control,https://dhcd.dc.gov/am/node/1771516,RentRegistry public database,Safe and Healthy / inspections ecosystem exists but not yet scoped here,"ACS 5y place, FHFA DC metro, BPS DC, QCEW DC",high,yes,"Strong registry-based extension with explicit analyst/researcher audience."
Los Angeles,CA,legacy_local_rso,https://housing.lacity.gov/,RSO inventory dashboard + eviction notice and Ellis Act dashboards,Tenant Habitability Program + Systematic Code Enforcement dashboard,"ACS 1y/5y place, FHFA LA metro/division, BPS LA County, QCEW LA County",high,yes,"Strongest official quality and enforcement dashboard package outside NYC."
Oakland,CA,legacy_local_rent_adjustment,https://www.oaklandca.gov/Community/Housing-Programs-Support/Rent-Adjustment-Program-RAP,RAP case database + rent registry + citywide eviction data,Code Compliance Relocation + code enforcement services,"ACS 1y/5y place, FHFA Oakland/SF metro, BPS Alameda County, QCEW Alameda County",high,partial,"Strong petition and enforcement channel; new rent registry appears public-facing but not fully bulk-open."
San Francisco,CA,legacy_local_rent_control,https://www.sf.gov/departments--rent-board,Housing Inventory (DataSF / Data.gov),No quality dataset verified here yet,"ACS 1y/5y place/county, FHFA SF metro/division, BPS San Francisco County, QCEW San Francisco County",medium,yes,"Very promising inventory-based extension; owner-reported and not verified by the Rent Board."
San Jose,CA,local_rent_stabilization_and_registry,https://www.sanjoseca.gov/your-government/departments-offices/housing/landlords-property-managers/rent-registry,Rent Registry + petitions/forms,No strong quality dataset verified here yet,"ACS 1y/5y place, FHFA San Jose metro, BPS Santa Clara County, QCEW Santa Clara County",medium,partial,"Registry exists and is official, but bulk public extraction is not yet verified."
West Hollywood,CA,legacy_local_rent_stabilization,https://www.weho.org/city-government/rent-stabilization,Landlord Service Portal + non-rent-controlled unit registry,Tenant Habitability Plans + code compliance references,"ACS 1y/5y place, FHFA LA metro/division, BPS LA County, QCEW LA County",medium,partial,"Good mechanism city if portal data can be extracted responsibly."
Santa Monica,CA,legacy_local_rent_control,https://www.smgov.net/departments/rentcontrol/mar.aspx,Maximum Allowable Rent lookup,No bulk quality dataset verified here yet,"ACS 1y/5y place, FHFA LA metro/division, BPS LA County, QCEW LA County",medium,partial,"Public lookup is useful for ceiling questions, but bulk access is uncertain."
East Palo Alto,CA,local_rent_stabilization,https://www.ci.east-palo-alto.ca.us/rent-stabilization/page/rent-stabilization-program,Landlord portal + petition and board materials,No strong quality dataset verified here yet,"ACS 5y place/county, FHFA SF metro/division, BPS San Mateo County, QCEW San Mateo County",medium,partial,"Strong local ordinance history; likely a manual-board-materials build first."
Mountain View,CA,local_rent_stabilization,https://www.mountainview.gov/our-city/current-topics-and-initiatives,Rent Stabilization Program + Rental Housing Committee materials,No strong quality dataset verified here yet,"ACS 1y/5y place, FHFA San Jose metro, BPS Santa Clara County, QCEW Santa Clara County",medium,partial,"Promising Bay Area city with voter-adopted Measure V, but public bulk admin data remains uncertain."
