city,state_abbr,question_id,question_family,question_text,treatment_or_mechanism_source,outcome_or_mechanism_source,feasibility,notes,priority_rank
New York City,NY,NYC_Q1,quality_and_maintenance,Did buildings with at least one stabilized unit show different HPD violation trends?,Rent Stabilized Building Lists,HPD violations; complaints; enforcement data,high,Best public quality question in the repo's current extension universe.,1
New York City,NY,NYC_Q2,treated_stock_inventory,Did the stabilized building stock footprint change over time?,Rent Stabilized Building Lists,Annual RSBL vintages; borough and county market backbones,high,Uses building-level treated-stock proxy only.,1
Los Angeles,CA,LA_Q1,quality_and_maintenance,Did RSO exposure line up with changes in tenant habitability and code-enforcement activity?,RSO inventory dashboard,Tenant Habitability Program; Systematic Code Enforcement dashboard,high,Strongest official quality and enforcement package after NYC.,2
Los Angeles,CA,LA_Q2,evictions_and_exits,Did eviction notices or Ellis Act filings move around rule changes?,RSO inventory and local rent regulation context,Eviction notice and Ellis Act dashboards,high,Direct displacement and exits channel.,2
Los Angeles,CA,LA_Q3,market_and_supply,Did RSO-heavy areas diverge on rents prices or permits?,RSO inventory dashboard,ACS place and county; FHFA LA metro; BPS LA County,medium,Needs careful geography matching.,2
Oakland,CA,OAK_Q1,petition_activity,Did RAP cases tied to decreased services or code issues change over time?,Oakland RAP case database,RAP case records; code compliance relocation data,high,Strong petition and mechanism extension.,3
Oakland,CA,OAK_Q2,evictions_and_enforcement,Did citywide eviction and enforcement patterns shift with local rent protection activity?,Rent registry and eviction data,Citywide eviction dataset; code compliance records,high,Good formal displacement and enforcement channel.,3
Berkeley,CA,BERK_Q1,legal_ceiling_vs_market,Did registered legal rent ceilings diverge from city market or occupied-rent trends?,Berkeley Rent Board registration; Unit Information Lookup,Registry ceilings; ACS 5y; FHFA Bay Area; BPS Alameda; QCEW Alameda,high,Core Berkeley mechanism question.,4
Berkeley,CA,BERK_Q2,petition_and_enforcement,Did eviction-related board activity or petitions change around broader market shifts?,Berkeley Rent Board eviction and petition workflows,Rent Board admin records; local market backbones,medium,Depends on practical extraction of public admin records.,4
Washington,DC,DC_Q1,registry_inventory,What does the DC RentRegistry reveal about protected stock and turnover?,DHCD RentRegistry,RentRegistry public database; citywide backbones,high,Strong administrative transparency question.,5
Washington,DC,DC_Q2,ceiling_vs_market,Do registered rent-controlled properties diverge from broader DC market trends?,DHCD RentRegistry,Registry; ACS; FHFA; BPS; QCEW,medium,Promising but needs registry field audit first.,5
Saint Paul,MN,STP_Q1,policy_case_study,Did the 2021 ordinance and later amendments affect permits prices and employment?,City rent stabilization ordinance timeline,BPS Ramsey County; FHFA Twin Cities; QCEW Ramsey County,high,Clean modern ordinance case with explicit timing.,6
Saint Paul,MN,STP_Q2,amendment_analysis,Did post-ordinance amendments attenuate or reverse early effects?,City ordinance and amendment materials,Same federal outcome backbone,high,Best amendment-design question among city candidates.,6
